player, doubleMill, number3Connect, number2Connect, score
2,False,0,0,-2
1,False,0,1,0
2,False,2,8,2
2,False,0,3,-2
2,False,0,1,0
2,False,0,4,2
2,False,0,4,6
2,False,0,1,4
1,True,3,16,9
1,False,0,2,-10
2,False,1,4,16
2,False,0,2,0
2,False,0,4,-12
2,False,0,0,2
1,False,1,8,3
1,False,0,0,18
1,False,3,11,11
1,False,0,6,13
2,False,0,3,4
1,True,3,13,10
2,False,0,7,-11
1,False,0,1,-3
2,True,2,9,10
1,False,0,1,4
1,False,1,2,-16
2,False,0,2,-13
2,False,0,3,3
2,False,0,1,-3
1,False,0,3,15
2,False,0,12,7
2,False,1,5,13
1,False,2,10,11
2,True,4,13,9
2,False,3,16,7
1,False,1,4,17
2,False,1,4,-4
1,False,0,3,2
2,False,0,2,-2
1,False,1,8,10
1,False,0,4,-4
2,False,1,4,-2
2,False,0,3,11
1,True,5,16,9
1,False,0,1,2
2,False,0,3,5
1,False,0,0,4
2,False,4,16,-8
1,False,0,1,0
1,False,0,3,4
1,False,5,21,7
2,False,2,14,1
1,False,0,2,11
2,False,0,5,2
2,False,4,13,10
1,False,0,2,3
2,False,1,5,16
2,False,1,2,17
2,False,3,15,9
1,False,1,2,17
1,False,1,6,3
1,True,2,4,15
1,False,1,2,15
1,False,0,0,2
2,False,1,3,17
2,False,0,3,17
2,False,0,6,-2
2,False,0,1,-4
1,False,0,3,2
1,False,0,4,4
2,False,0,2,4
2,False,4,20,4
2,False,0,8,9
1,False,1,4,17
1,True,2,10,12
1,False,1,12,9
1,False,2,9,11
2,False,2,9,10
1,False,0,4,15
2,False,1,2,15
2,False,0,1,2
1,False,3,9,12
2,False,1,3,11
2,False,1,8,13
2,False,0,1,4
1,False,4,18,6
2,False,0,1,3
1,False,0,4,3
1,False,1,2,15
2,False,1,7,12
2,False,0,4,-12
2,False,1,6,11
2,False,0,1,5
1,False,0,1,-1
1,True,2,9,13
1,False,2,8,-2
1,False,0,6,-4
1,False,2,6,10
1,False,1,14,10
1,False,2,10,11
2,False,0,1,2
1,False,1,5,14
2,False,1,4,15
